Water_year,Index_location,Index,WY_type
1995,Sacramento Valley,12.4,W
1996,Sacramento Valley,9.7,W
1997,Sacramento Valley,11,W
1998,Sacramento Valley,12.4,W
1999,Sacramento Valley,10,W
2000,Sacramento Valley,9.2,W
2001,Sacramento Valley,5.9,D
2002,Sacramento Valley,6.5,D
2003,Sacramento Valley,8,AN
2004,Sacramento Valley,7.7,BN
2005,Sacramento Valley,7.4,BN
2006,Sacramento Valley,13,W
2007,Sacramento Valley,6.2,D
2008,Sacramento Valley,5.4,C
2009,Sacramento Valley,5.5,D
2010,Sacramento Valley,6.9,BN
2011,Sacramento Valley,10,W
2012,Sacramento Valley,6.9,BN
2013,Sacramento Valley,5.8,D
2014,Sacramento Valley,4,C
2015,Sacramento Valley,4,C
2016,Sacramento Valley,7.1,BN
2017,Sacramento Valley,14.9,W
2018,Sacramento Valley,7.2,BN
2019,Sacramento Valley,10.2,W
2020,Sacramento Valley,6,D
2021,Sacramento Valley,2.8,C
2022,Sacramento Valley,,
2023,Sacramento Valley,,
